id,label,comment,domains,ranges
alignmentType,Alignment Type,"A category of alignment between the learning resource and the framework node. Recommended values include: 'assesses', 'teaches', 'requires', 'textComplexity', 'readingLevel', 'educationalSubject', and 'educationLevel'.",AlignmentObject,Text
administrationRoute,Administration Route,"A route by which this drug may be administered, e.g. 'oral'.",Drug,Text
subTest,Sub Test,A component test of the panel.,MedicalTestPanel,MedicalTest
requiredMinAge,Required Min Age,Audiences defined by a person's minimum age.,PeopleAudience,Integer
follows,Follows,The most generic uni-directional social relation.,Person,Person
printSection,Print Section,"If this NewsArticle appears in print, this field indicates the print section in which the article appeared.",NewsArticle,Text
maxPrice,Max Price,The highest price if the price is a range.,PriceSpecification,Number
loser,Loser,A sub property of participant. The loser of the action.,WinAction,Person
imagingTechnique,Imaging Technique,Imaging technique used.,ImagingTest,MedicalImagingTechnique
audience,Audience,"The intended audience of the item, i.e. the group for whom the item was created.",PlayAction CreativeWork Product,Audience
broadcaster,Broadcaster,The organization owning or operating the broadcast service.,BroadcastService,Organization
indication,Indication,"A factor that indicates use of this therapy for treatment and/or prevention of a condition, symptom, etc. For therapies such as drugs, indications can include both officially-approved indications as well as off-label uses. These can be distinguished by using the ApprovedIndication subtype of MedicalIndication.",MedicalDevice MedicalTherapy,MedicalIndication
memberOf,Member of,An organization to which the person belongs.,Person,Organization
contactPoints,Contact Points,"A contact point for a person or organization (legacy spelling; see singular form, contactPoint).",Person Organization,ContactPoint
endorsee,Endorsee,A sub property of participant. The person/organization being supported.,EndorseAction,Organization Person
serviceSmsNumber,Service Sms Number,The number to access the service by text message.,ServiceChannel,ContactPoint
hospitalAffiliation,Hospital Affiliation,A hospital with which the physician or office is affiliated.,Physician,Hospital
distinguishingSign,Distinguishing Sign,One of a set of signs and symptoms that can be used to distinguish this diagnosis from others in the differential diagnosis.,DDxElement,MedicalSignOrSymptom
encodesCreativeWork,Encodes Creative Work,The creative work encoded by this media object,MediaObject,CreativeWork
isAvailableGenerically,Is Available Generically,True if the drug is available in a generic form (regardless of name).,Drug,Boolean
datePosted,Date Posted,Publication date for the job posting.,JobPosting,Date
discountCurrency,Discount Currency,The currency (in 3-letter ISO 4217 format) of the discount.,Order,Text
typicalAgeRange,Typical Age Range,"The typical expected age range, e.g. '7-9', '11-'.",CreativeWork Event,Text
duration,Duration,"The duration of the item (movie, audio recording, event, etc.) in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>.",Movie MediaObject MusicRecording Event,Duration
availableService,Available Service,A medical service available from this provider.,Physician Hospital MedicalClinic,MedicalTest MedicalProcedure MedicalTherapy
episodeNumber,Episode Number,Position of the episode within an ordered group of episodes.,Episode,Integer
paymentMethod,Payment Method,The name of the credit card or other method of payment for the order.,Order,PaymentMethod
attendees,Attendees,"A person attending the event (legacy spelling; see singular form, attendee).",Event,Organization Person
salaryCurrency,Salary Currency,"The currency (coded using ISO 4217, http://en.wikipedia.org/wiki/ISO_4217 used for the main salary information in this job posting.",JobPosting,Text
worksFor,Works for,Organizations that the person works for.,Person,Organization
seller,Seller,The organization or person making the offer.,Offer Demand,Organization Person
programmingModel,Programming Model,Indicates whether API is managed or unmanaged.,APIReference,Text
includedRiskFactor,Included Risk Factor,"A modifiable or non-modifiable risk factor included in the calculation, e.g. age, coexisting condition.",MedicalRiskEstimator,MedicalRiskFactor
provider,Provider,The organization or agency that is providing the service.,CreativeWork Service,Organization Person
prescriptionStatus,Prescription Status,Indicates whether this drug is available by prescription or over-the-counter.,Drug,DrugPrescriptionStatus
occupationalCategory,Occupational Category,"Category or categories describing the job. Use BLS O*NET-SOC taxonomy: http://www.onetcenter.org/taxonomy.html. Ideally includes textual label and formal code, with the property repeated for each applicable value.",JobPosting,Text
increasesRiskOf,Increases Risk of,"The condition, complication, etc. influenced by this factor.",MedicalRiskFactor,MedicalEntity
object,Object,"The object upon the action is carried out, whose state is kept intact or changed. Also known as the semantic roles patient, affected or undergoer (which change their state) or theme (which doesn't). e.g. John read *a book*.",Action,Thing
assembly,Assembly,"Library file name e.g., mscorlib.dll, system.web.dll",APIReference,Text
contraindication,Contraindication,A contraindication for this therapy.,MedicalDevice MedicalTherapy,MedicalContraindication
suggestedGender,Suggested Gender,The gender of the person or audience.,PeopleAudience,Text
lesserOrEqual,Lesser or Equal,This ordering relation for qualitative values indicates that the subject is lesser than or equal to the object.,QualitativeValue,QualitativeValue
trackingUrl,Tracking Url,Tracking url for the parcel delivery.,ParcelDelivery,URL
acquiredFrom,Acquired From,The organization or person from which the product was acquired.,OwnershipInfo,Organization Person
epidemiology,Epidemiology,"The characteristics of associated patients, such as age, gender, race etc.",MedicalCondition PhysicalActivity,Text
contactPoint,Contact Point,A contact point for a person or organization.,Person Organization,ContactPoint
expertConsiderations,Expert Considerations,Medical expert advice related to the plan.,Diet,Text
servingSize,Serving Size,"The serving size, in terms of the number of volume or mass",NutritionInformation,Text
stage,Stage,"The stage of the condition, if applicable.",MedicalCondition,MedicalConditionStage
about,About,The subject matter of the content.,CommunicateAction CreativeWork,Thing
naics,Naics,The North American Industry Classification System (NAICS) code for a particular organization or business person.,Person Organization,Text
industry,Industry,The industry associated with the job position.,JobPosting,Text
wordCount,Word Count,The number of words in the text of the Article.,Article,Integer
gtin14,Gtin14,"The GTIN-14 code of the product, or the product to which the offer refers.",Product Offer Demand,Text
carrier,Carrier,The party responsible for the parcel delivery.,ParcelDelivery,Organization
gtin13,Gtin13,"The GTIN-13 code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero.",Product Offer Demand,Text
trackingNumber,Tracking Number,Shipper tracking number.,ParcelDelivery,Text
tributary,Tributary,The anatomical or organ system that the vein flows into; a larger structure that the vein connects to.,Vein,AnatomicalStructure
warranty,Warranty,The warranty promise(s) included in the offer.,Offer Demand,WarrantyPromise
nerve,Nerve,The underlying innervation associated with the muscle.,Muscle,Nerve
orderNumber,Order Number,The identifier of the transaction.,Order,Text
exerciseType,Exercise Type,"Type(s) of exercise or activity, such as strength training, flexibility training, aerobics, cardiac rehabilitation, etc.",ExerciseAction ExercisePlan,Text
resultReview,Result Review,A sub property of result. The review that resulted in the performing of the action.,ReviewAction,Review
saturatedFatContent,Saturated Fat Content,The number of grams of saturated fat.,NutritionInformation,Mass
educationRequirements,Education Requirements,Educational background needed for the position.,JobPosting,Text
associatedMedia,Associated Media,The media objects that encode this creative work. This property is a synonym for encodings.,CreativeWork,MediaObject
drugClass,Drug Class,"The class of drug this belongs to (e.g., statins).",Drug,DrugClass
featureList,Feature List,Features or modules provided by this application (and possibly required by other applications).,SoftwareApplication,Text URL
doseValue,Dose Value,"The value of the dose, e.g. 500.",DoseSchedule,Number
seasons,Seasons,"A season in a tv/radio series. (legacy spelling; see singular form, season)",Series,Season
contributor,Contributor,A secondary contributor to the CreativeWork.,CreativeWork,Organization Person
thumbnailUrl,Thumbnail Url,A thumbnail image relevant to the Thing.,CreativeWork,URL
musicGroupMember,Music Group Member,"A member of the music group—for example, John, Paul, George, or Ringo.",MusicGroup,Person
availableLanguage,Available Language,A language someone may use with the item.,ServiceChannel ContactPoint,Language
relatedStructure,Related Structure,"Related anatomical structure(s) that are not part of the system but relate or connect to it, such as vascular bundles associated with an organ system.",AnatomicalSystem,AnatomicalStructure
interactivityType,Interactivity Type,"The predominant mode of learning supported by the learning resource. Acceptable values are 'active', 'expositive', or 'mixed'.",CreativeWork,Text
area,Area,The area within which users can expect to reach the broadcast service.,BroadcastService,Place
question,Question,A sub property of object. A question.,AskAction,Text
seriousAdverseOutcome,Serious Adverse Outcome,"A possible serious complication and/or serious side effect of this therapy. Serious adverse outcomes include those that are life-threatening; result in death, disability, or permanent damage; require hospitalization or prolong existing hospitalization; cause congenital anomalies or birth defects; or jeopardize the patient and may require medical or surgical intervention to prevent one of the outcomes in this definition.",MedicalDevice MedicalTherapy,MedicalEntity
healthCondition,Health Condition,Expectations for health conditions of target audience,PeopleAudience,MedicalCondition
availabilityStarts,Availability Starts,The beginning of the availability of the product or service included in the offer.,Offer Demand,DateTime
width,Width,The width of the item.,MediaObject Product,Distance QuantitativeValue
proficiencyLevel,Proficiency Level,"Proficiency needed for this content; expected values: 'Beginner', 'Expert'.",TechArticle,Text
editor,Editor,Specifies the Person who edited the CreativeWork.,CreativeWork,Person
softwareVersion,Software Version,Version of the software instance.,SoftwareApplication,Text
opens,Opens,The opening hour of the place or service on the given day(s) of the week.,OpeningHoursSpecification,Time
dayOfWeek,Day of Week,The day of the week for which these opening hours are valid.,OpeningHoursSpecification,DayOfWeek
serviceAudience,Service Audience,The audience eligible for this service.,Service,Audience
brand,Brand,"The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.",Person Product Organization,Organization Brand
deliveryAddress,Delivery Address,Destination address.,ParcelDelivery,PostalAddress
specialty,Specialty,One of the domain specialities to which this web page's content applies.,WebPage,Specialty
identifyingExam,Identifying Exam,A physical examination that can identify this sign.,MedicalSign,PhysicalExam
previousStartDate,Previous Start Date,"Used in conjunction with eventStatus for rescheduled or cancelled events. This property contains the previously scheduled start date. For rescheduled events, the startDate property should be used for the newly scheduled start date. In the (rare) case of an event that has been postponed and rescheduled multiple times, this field may be repeated.",Event,Date
validUntil,Valid Until,The date when the item is no longer valid.,Permit,Date
line,Line,A line is a point-to-point path consisting of two or more points. A line is expressed as a series of two or more point objects separated by space.,GeoShape,Text
minValue,Min Value,The lower value of the product characteristic.,QuantitativeValue,Number
proteinContent,Protein Content,The number of grams of protein.,NutritionInformation,Mass
accessibilityAPI,Accessibility API,"Indicates that the resource is compatible with the referenced accessibility API (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).
     ",CreativeWork,Text
supplyTo,Supply to,The area to which the artery supplies blood to.,Artery,AnatomicalStructure
illustrator,Illustrator,The illustrator of the book.,Book,Person
nonProprietaryName,Non Proprietary Name,The generic name of this drug or supplement.,DietarySupplement Drug,Text
downloadUrl,Download Url,"If the file can be downloaded, URL to download the binary.",SoftwareApplication,URL
validIn,Valid in,The geographic area where the permit is valid.,Permit,AdministrativeArea
sampleType,Sample Type,"Full (compile ready) solution, code snippet, inline code, scripts, template.",Code,Text
distribution,Distribution,"A downloadable form of this dataset, at a specific location, in a specific format.",Dataset,DataDownload
partOfSeries,Part of Series,The series to which this episode or season belongs.,Season Episode Clip,Series
sourceOrganization,Source Organization,The Organization on whose behalf the creator was working.,CreativeWork,Organization
videoFrameSize,Video Frame Size,The frame size of the video.,VideoObject,Text
doseUnit,Dose Unit,"The unit of the dose, e.g. 'mg'.",DoseSchedule,Text
result,Result,The result produced in the action. e.g. John wrote *a book*.,Action,Thing
priceValidUntil,Price Valid Until,The date after which the price is no longer available.,Offer,Date
programmingLanguage,Programming Language,The computer programming language.,Code,Thing
citation,Citation,"A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.",CreativeWork,CreativeWork Text
processingTime,Processing Time,Estimated processing time for the service using this channel.,ServiceChannel,Duration
sibling,Sibling,A sibling of the person.,Person,Person
countriesSupported,Countries Supported,Countries for which the application is supported. You can also provide the two-letter ISO 3166-1 alpha-2 country code.,SoftwareApplication,Text
warning,Warning,Any FDA or other warnings about the drug (text or URL).,Drug,Text URL
orderStatus,Order Status,The current status of the order.,Order,OrderStatus
commentTime,Comment Time,The time at which the UserComment was made.,UserComments,Date
currenciesAccepted,Currencies Accepted,"The currency accepted (in <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a>).",LocalBusiness,Text
unitCode,Unit Code,The unit of measurement given using the UN/CEFACT Common Code (3 characters).,TypeAndQuantityNode QuantitativeValue UnitPriceSpecification,Text
biomechnicalClass,Biomechnical Class,The biomechanical properties of the bone.,Joint,Text
postOfficeBoxNumber,Post Office Box Number,The post offce box number for PO box addresses.,PostalAddress,Text
yearlyRevenue,Yearly Revenue,The size of the business in annual revenue.,BusinessAudience,QuantitativeValue
polygon,Polygon,A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more spacedelimited points where the first and final points are identical.,GeoShape,Text
ingredients,Ingredients,An ingredient used in the recipe.,Recipe,Text
sportsTeam,Sports Team,A sub property of participant. The sports team that participated on this action.,ExerciseAction,SportsTeam
depth,Depth,The depth of the product.,Product,Distance QuantitativeValue
actor,Actor,"A cast member of the movie, tv/radio series, season, episode, or video.",Series Episode Movie,Person
addressCountry,Address Country,"The country. For example, USA. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>.",PostalAddress,Country
branchOf,Branch of,"The larger organization that this local business is a branch of, if any.",LocalBusiness,Organization
actors,Actors,"A cast member of the movie, tv/radio series, season, episode, or video. (legacy spelling; see singular form, actor)",Series Episode Movie,Person
branch,Branch,The branches that delineate from the nerve bundle.,Nerve,AnatomicalStructure Nerve
spatial,Spatial,"The range of spatial applicability of a dataset, e.g. for a dataset of New York weather, the state of New York.",Dataset,Place
department,Department,"A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe.",Organization,Organization
discount,Discount,Any discount applied (to an Order).,Order,Number Text
riskFactor,Risk Factor,"A modifiable or non-modifiable factor that increases the risk of a patient contracting this condition, e.g. age,  coexisting condition.",MedicalCondition,MedicalRiskFactor
typicalTest,Typical Test,A medical test typically performed given this condition.,MedicalCondition,MedicalTest
category,Category,A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.,PhysicalActivity Offer,Text PhysicalActivityCategory Thing
nerveMotor,Nerve Motor,The neurological pathway extension that involves muscle control.,Nerve,Muscle
successorOf,Successor of,"A pointer from a newer variant of a product  to its previous, often discontinued predecessor.",ProductModel,ProductModel
acceptedPaymentMethod,Accepted Payment Method,The payment method(s) accepted by seller for this offer.,Offer Demand,PaymentMethod
diet,Diet,A sub property of instrument. The died used in this action.,ExerciseAction,Diet
exercisePlan,Exercise Plan,A sub property of instrument. The exercise plan used on this action.,ExerciseAction,ExercisePlan
breadcrumb,Breadcrumb,A set of links that can help a user understand and navigate a website hierarchy.,WebPage,Text
uploadDate,Upload Date,Date when this media object was uploaded to this site.,MediaObject,Date
expectedArrivalFrom,Expected Arrival From,The earliest date the package may arrive.,ParcelDelivery,DateTime
spouse,Spouse,The person's spouse.,Person,Person
endorsers,Endorsers,People or organizations that endorse the plan.,Diet,Organization Person
timeRequired,Time Required,"Approximate or typical time it takes to work with or through this learning resource for the typical intended target audience, e.g. 'P30M', 'P1H25M'.",CreativeWork,Duration
targetPlatform,Target Platform,"Type of app development: phone, Metro style, desktop, XBox, etc.",APIReference,Text
algorithm,Algorithm,The algorithm or rules to follow to compute the score.,MedicalRiskScore,Text
photos,Photos,"Photographs of this place (legacy spelling; see singular form, photo).",Place,ImageObject Photograph
fromLocation,From Location,A sub property of location. The original location of the object or the agent before the action.,TransferAction ExerciseAction MoveAction,Place Number
directors,Directors,"The director of the movie, tv/radio episode or series. (legacy spelling; see singular form, director)",Series Episode Movie,Person
diagnosis,Diagnosis,One or more alternative conditions considered in the differential diagnosis process.,DDxElement,MedicalCondition
vatID,Vat ID,The Value-added Tax ID of the organisation or person.,Person Organization,Text
